issue_id,tool,rule,category,severity,path,line,line_text,message,reported_commit,reported_committer,dataset_phase,module,scope,provenance,provenance_evidence,present_at_intermediate_head_cb19910,present_at_final_validation_head,disposition
988d43715865b69b8cb674eeb017cb85,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,521,"    protected boolean handleLeashEntity(int leashedEntityID, int holderEntityID, PlayerData playerData, int currentTick) {",Method PacketEntityViewController::handleLeashEntity has a cyclomatic complexity of 16 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=16 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
3c7791668ab3f8e51b1728f986916b99,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/test/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/EntityTransitionWorkTest.java,184,    private static Object defaultValue(Class<?> type) {,Method EntityTransitionWorkTest::defaultValue has a cyclomatic complexity of 10 (limit is 8),3e18acde563809f68f003229266258687ce8ce10,P2wn,initial,PacketEvents,Tests,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
54b1d7a821f1525d7c8ede8d21a7fdb2,Lizard,Lizard_parameter-count-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PEEntityStateReconciliationTask.java,35,"    static PEEntityStateReconciliationTask teleport(PlayerData playerData, int entityID, double x, double y, double z, float yaw, float pitch,",Method PEEntityStateReconciliationTask::teleport has 12 parameters (limit is 8),5d407afbdf8d5d1b58d801078a80ec1a1e482a9d,Cubicake,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream params=12 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
e88b909840701cc99770ae7c47c6e0da,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PacketEventsRespawnStateInvalidator.java,23,    public static boolean invalidateIfRespawn(PacketSendEvent event) {,Method PacketEventsRespawnStateInvalidator::invalidateIfRespawn has a cyclomatic complexity of 10 (limit is 8),59c433bfd4e8c61cc7aed7fca90782529b7e24d8,P2wn,initial,PacketEvents,Production code,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
d9a1ebe031958bac9a72e8dde8ce24b4,Lizard,Lizard_file-nloc-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,1,/*,File core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java has 633 non-comment lines of code,18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same file upstream NCSS=627,yes,yes,remaining; reproduced against authoritative upstream baseline
8f4efc3787b5e04f9faf7a640194f63b,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/chunkparser/AbstractChunkParser.java,52,"    public final @Nullable Column parse(BlockView blockView, UUID world, Column column, int minimumSectionY) {",Method AbstractChunkParser::parse has a cyclomatic complexity of 29 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream ccn=29 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
c10200f146a6f972fb176df7046b50b4,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/engine/AsyncEngine.java,146,"    public void tick(int scheduledTick, long scheduledNanos) {",Method AsyncEngine::tick has a cyclomatic complexity of 9 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
98686f829f1aea902bfe36afcec76a49,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/utils/Long2ObjectMTHashMapTest.java,306,    void multipleThreadsReadingAndWriting() {,Method Long2ObjectMTHashMapTest::multipleThreadsReadingAndWriting has a cyclomatic complexity of 20 (limit is 8),422a189069300dfa99524b1e1143f4500e42226c,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream ccn=20 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
7af5d14a111ccc1e2db6c8183b9e0971,Lizard,Lizard_parameter-count-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PacketEventsBlockViewController.java,402,"    private void processTileEntityOperation(User viewer, BlockView blockView, int currentWorldEpoch,",Method MutableVector3i::processTileEntityOperation has 9 parameters (limit is 8),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,PacketEvents,Production code,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
974b2cc1b56369ec24e61d15582c61af,Lizard,Lizard_nloc-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/chunkparser/AbstractChunkParser.java,52,"    public final @Nullable Column parse(BlockView blockView, UUID world, Column column, int minimumSectionY) {",Method AbstractChunkParser::parse has 95 lines of code (limit is 50),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream nloc=91 > 50,yes,yes,remaining; reproduced against authoritative upstream baseline
3de1db0b5b67289df0322c63ec483dad,Lizard,Lizard_nloc-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/utils/Long2ObjectMTHashMapTest.java,162,    void supportsConcurrentReadersAndWriters() {,Method Long2ObjectMTHashMapTest::supportsConcurrentReadersAndWriters has 53 lines of code (limit is 50),422a189069300dfa99524b1e1143f4500e42226c,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream nloc=53 > 50,yes,yes,remaining; reproduced against authoritative upstream baseline
c1681dafe4c3d841b6a5c1483ad83d9c,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/test/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/EntityTransitionRetryQueueTest.java,193,    private static Object defaultValue(Class<?> type) {,Method TestFailure::defaultValue has a cyclomatic complexity of 10 (limit is 8),33b615d5ef3a937dafdf461c48e9626ee7d342fc,OpenAI Agent,initial,PacketEvents,Tests,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
dac98137d7a1e532f28da2e165a7ed63,Lizard,Lizard_nloc-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/players/ClientStateResetter.java,18,"    public static boolean resetForRespawn(PlayerData playerData, String worldName, UUID worldUUID,",Method ClientStateResetter::resetForRespawn has 56 lines of code (limit is 50),59c433bfd4e8c61cc7aed7fca90782529b7e24d8,P2wn,initial,Core,Production code,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
d8859f1752cb79cb42e07cfab3db0aeb,Lizard,Lizard_parameter-count-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PacketEventsBlockViewController.java,339,"    private void processTileEntityOperationSafely(UUID viewerUUID, User viewer, BlockView blockView,",Method MutableVector3i::processTileEntityOperationSafely has 11 parameters (limit is 8),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,PacketEvents,Production code,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
262e8a675b07710a540fd063c00886e0,Lizard,Lizard_nloc-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/utils/CopyOnWriteMTIntSetTest.java,110,    private static void concurrentReadersAndWriters(CopyOnWriteMTIntSet set) {,Method CopyOnWriteMTIntSetTest::concurrentReadersAndWriters has 74 lines of code (limit is 50),61e7cac35fbd35b2859a812adfdaf361b32cb24b,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream nloc=74 > 50,yes,yes,remaining; reproduced against authoritative upstream baseline
a6e737cd698c0c754bb3db2ed2c723a6,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/players/RespawnEpochBoundaryTest.java,112,"    private EntityView<?> entityView(IntSupplier epochSupplier, boolean playerView) {",Method RespawnEpochBoundaryTest::entityView has a cyclomatic complexity of 14 (limit is 8),35127dd6bff64e9f2d6dd4a1fe5e4ea48995aeb3,P2wn,initial,Core,Tests,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
664d807e9951ed0cb916c2c2cdf061bf,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/AbstractBlockView.java,334,"    public void pruneTileEntitiesAbsentFromChunkSections(UUID world, int chunkX, int chunkZ,",Method AbstractBlockView::pruneTileEntitiesAbsentFromChunkSections has a cyclomatic complexity of 15 (limit is 8),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=15 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
f4e792260569100299ee77a74cae7245,Lizard,Lizard_nloc-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PacketEventsBlockViewController.java,141,"    private void handleBlockPackets(PacketSendEvent event, User viewer, PlayerData playerData, UUID world,",Method PacketEventsBlockViewController::handleBlockPackets has 53 lines of code (limit is 50),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,PacketEvents,Production code,PIECLOAK,same symbol upstream but nloc<=50,no,no,fixed by package 10 remediation
4b0be144f913a24d0ad72166e743214d,Lizard,Lizard_ccn-medium,Complexity,Warning,platform-paper/src/main/java/games/cubi/raycastedantiesp/paper/bStats/MetricsCollector.java,118,    static String bucketPlayerCount(int playerCount) {,Method MetricsCollector::bucketPlayerCount has a cyclomatic complexity of 15 (limit is 8),e55b685ce28bcfc1638e9d6462679e2cb17f50ec,Cubicake,initial,Paper platform,Production code,UPSTREAM,same symbol upstream ccn=15 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
1f6b305f1b5ca2bf3253e4c46f79f04c,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PacketEventsBlockViewController.java,141,"    private void handleBlockPackets(PacketSendEvent event, User viewer, PlayerData playerData, UUID world,",Method PacketEventsBlockViewController::handleBlockPackets has a cyclomatic complexity of 14 (limit is 8),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream ccn=13 > 8,no,no,incidentally solved while preserving package behavior
12189a09a653725602230e408166b716,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/chunkparser/OcclusionChunkParser.java,25,    protected @Nullable OccludingChunkData parseSection(Chunk_v1_18 section) {,Method OcclusionChunkParser::parseSection has a cyclomatic complexity of 12 (limit is 8),fea6800269f422fa5210ab14e431775459f3433e,Cubicake,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream ccn=12 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
4d370eba85d77efb5ac13797f9c5e996,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/engine/AsyncEngine.java,398,"    private void processTickForPlayers(List<PlayerData> playerDataList, EntityConfig entityConfig, PlayerConfig playerConfig, TileEntityConfig tileEntityConfig,",Method AsyncEngine::processTickForPlayers has a cyclomatic complexity of 12 (limit is 8),,,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=11 > 8,no,no,incidentally solved while preserving package behavior
39b873461fd45a2ec438a23245cc1977,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,413,"    private void clearPassengerReferencesForDestroyedEntity(int entityID, PlayerData playerData) {",Method PacketEntityViewController::clearPassengerReferencesForDestroyedEntity has a cyclomatic complexity of 14 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=14 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
366941b0d5c39186df7ba2e576aad076,Lizard,Lizard_parameter-count-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PEEntityStateReconciliationTask.java,29,"    static PEEntityStateReconciliationTask relativeMoveAndRotation(PlayerData playerData, int entityID, double deltaX, double deltaY, double deltaZ,",Method PEEntityStateReconciliationTask::relativeMoveAndRotation has 9 parameters (limit is 8),5d407afbdf8d5d1b58d801078a80ec1a1e482a9d,Cubicake,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream params=9 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
61fd37df700f00f2dbbe97b2267d0145,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/players/RespawnEpochBoundaryTest.java,170,    private static Object defaultValue(Class<?> returnType) {,Method RespawnEpochBoundaryTest::defaultValue has a cyclomatic complexity of 9 (limit is 8),35127dd6bff64e9f2d6dd4a1fe5e4ea48995aeb3,P2wn,initial,Core,Tests,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
5ad3f14d299437d170ab27cfbc2a2cc3,Lizard,Lizard_nloc-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/utils/Long2ObjectMTHashMapTest.java,306,    void multipleThreadsReadingAndWriting() {,Method Long2ObjectMTHashMapTest::multipleThreadsReadingAndWriting has 99 lines of code (limit is 50),422a189069300dfa99524b1e1143f4500e42226c,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream nloc=99 > 50,yes,yes,remaining; reproduced against authoritative upstream baseline
9f274b07a161f6d95e005f6b6236e603,Lizard,Lizard_parameter-count-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/tracked/PacketEventsEntity.java,18,"    public PacketEventsEntity(PlayerData owningPlayer, double x, double y, double z, int entityID, UUID entityUUID, boolean isSelfEntity, int entityType, boolean visible) {",Method PacketEventsEntity::PacketEventsEntity has 9 parameters (limit is 8),,,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream params=9 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
c7100cf9de11ff3e88c0aa3a4f203c19,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/test/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/RespawnRetryBoundaryTest.java,105,    private static Object defaultValue(Class<?> returnType) {,Method RespawnRetryBoundaryTest::defaultValue has a cyclomatic complexity of 9 (limit is 8),35127dd6bff64e9f2d6dd4a1fe5e4ea48995aeb3,P2wn,initial,PacketEvents,Tests,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
6c44e4b34275bce9b68a2f4033eaed57,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/config/raycast/RaycastConfig.java,41,"    protected static RaycastConfig load(ConfigurationNode node, String path, boolean hasHideSoundsWhenHidden,",Method RaycastConfig::load has a cyclomatic complexity of 13 (limit is 8),a47dcb94a89958fe585113106832afaf766efd7a,Cubicake,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=13 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
bc8e256180a2bedbc0ce27a7db31c025,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/raycast/RaycastUtil.java,21,"    public static boolean raycast(Locatable start, Spatial end, int maxOccluding, int alwaysShowRadius, int maxRaycastRadius, boolean debug, BlockView snap, float yOffsetEnd, int stepSize, ParticleSpawner particleSpawner) {",Method RaycastUtil::raycast has a cyclomatic complexity of 11 (limit is 8),a631c574651e102cc1e11f513f28cb119bad33d4,Cubicake,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=11 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
151a5befed48e522d0c8a9a45e701eae,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/chunks/blocks/BlockChunkDataBuilder.java,16,"    public static BlockChunkData copyOfPalette(char[] sourcePalette, IntUnaryOperator sourceIndexAtPacked, BlockInfoResolver blockInfoResolver) {",Method BlockChunkDataBuilder::copyOfPalette has a cyclomatic complexity of 11 (limit is 8),332f0becb460fc2aebae0ab7f0a51c88604a90e4,Cubicake,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=11 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
37c585fc016d49e6127e28edf5cfa9d5,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/players/ClientStateResetterTest.java,140,"    private EntityView<?> entityView(IntSupplier epochSupplier, boolean playerView) {",Method ClientStateResetterTest::entityView has a cyclomatic complexity of 21 (limit is 8),59c433bfd4e8c61cc7aed7fca90782529b7e24d8,P2wn,initial,Core,Tests,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
6f78fe4fc3caec4f595c04656cdd4cd1,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/players/ClientStateResetterMissingMetadataTest.java,96,    private static Object defaultValue(Class<?> returnType) {,Method ClientStateResetterMissingMetadataTest::defaultValue has a cyclomatic complexity of 9 (limit is 8),ddb6347d68d5606c3fecf045e7667572e5c5a9e7,P2wn,initial,Core,Tests,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
466c039660a8a0f21760957ccafb7004,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,670,"    protected void handleBypassedEntitySpawn(int entityID, PlayerData playerData, int currentTick) {",Method PacketEntityViewController::handleBypassedEntitySpawn has a cyclomatic complexity of 9 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=9 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
1555a4f3dc868e96613536b586359baa,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/utils/CopyOnWriteMTIntSetTest.java,110,    private static void concurrentReadersAndWriters(CopyOnWriteMTIntSet set) {,Method CopyOnWriteMTIntSetTest::concurrentReadersAndWriters has a cyclomatic complexity of 14 (limit is 8),61e7cac35fbd35b2859a812adfdaf361b32cb24b,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream ccn=14 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
a06409426c1a44ba965021a429585a18,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/config/ConfigReader.java,115,"    private static int exactInteger(Number value, String path, String expected) {",Method ConfigReader::exactInteger has a cyclomatic complexity of 10 (limit is 8),6dfb7c37157fd3f179600d8287ca6471342ec0a0,Cubicake,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=10 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
ecddbc45de9518627ccca0ee6debe792,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/AbstractBlockView.java,434,"    private void removeTileEntitiesInChunk(int chunkX, int chunkZ) {",Method AbstractBlockView::removeTileEntitiesInChunk has a cyclomatic complexity of 10 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=10 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
6aff258880ff2aeb5b70f42e7a382b2d,Lizard,Lizard_parameter-count-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PacketEventsBlockViewController.java,333,"    private void processModeRepairSafely(UUID viewerUUID, User viewer, BlockView blockView, int worldEpoch,",Method MutableVector3i::processModeRepairSafely has 9 parameters (limit is 8),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,PacketEvents,Production code,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
db7708f0301ad42aeaab1466fadfb501,Lizard,Lizard_parameter-count-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/tracked/NettyEntity.java,77,"    public NettyEntity(PlayerData owningPlayer, double x, double y, double z, int entityID, UUID entityUUID, boolean isSelfEntity, int entityType, boolean visible) {",Method NettyEntity::NettyEntity has 9 parameters (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream params=9 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
6cfbe760e9f04a7d3fbaed7a06c022cd,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/players/PlayerLocatableConcurrencyTest.java,82,"    private static void runReader(PlayerLocatable location, ImmutableLocatableImpl target, AtomicBoolean running,",Method PlayerLocatableConcurrencyTest::runReader has a cyclomatic complexity of 13 (limit is 8),853fa1531acbbb1458f776bbe2dc637fd0d40b7c,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream ccn=13 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
278c6a0da19cd6ad2e9012a0557cb7e1,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/engine/AsyncEngine.java,190,"    private boolean dispatchTick(int scheduledTick, int startTick, long scheduledNanos) {",Method AsyncEngine::dispatchTick has a cyclomatic complexity of 12 (limit is 8),,,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=12 > 8,no,no,incidentally solved while preserving package behavior
